PSR ID	B(deg)	L(deg)	Period(s)	Pdot	Flux(photons/cm^2/s)	LowCut(GeV)	HighCut(GeV)	SpectralIndex	T-Zero(MJD)	Binary(Y/N)	NumBins	Lite1	Lite2	Lite3	Lite4	Lite5	Lite6	Lite7	Lite8	Lite9	Lite10	Lite11	Lite12	Lite13	Lite14	Lite15	Lite16	Lite17	Lite18	Lite19	Lite20	Lite21
GRS00595755	-4.10E+00	1.54E+01	4.03E-01	2.43E-15	3.36E-10	1.00E-01	4.49E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.30E-10	6.45E-09	1.30E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00595880	4.81E+00	3.49E+02	4.34E-01	1.52E-15	5.96E-10	1.00E-01	5.67E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.26E-11	1.49E-10	4.32E-10	1.45E-09	7.79E-09	1.45E-09	4.32E-10	1.49E-10	3.26E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00596242	-4.45E-01	3.41E+02	3.84E-01	9.02E-16	2.42E-10	1.00E-01	7.37E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.61E-11	5.05E-10	3.67E-09	5.05E-10	7.61E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00597327	1.27E+00	3.60E+02	6.52E-01	9.94E-15	8.01E-10	1.00E-01	2.22E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.23E-11	3.98E-10	1.82E-09	1.15E-08	1.82E-09	3.98E-10	3.23E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00598073	1.76E+00	3.35E+02	5.23E-01	9.67E-15	6.23E-11	1.00E-01	2.25E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.32E-10	9.81E-10	1.32E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00603094	3.21E+00	7.64E+01	5.43E-01	3.93E-15	9.99E-11	1.00E-01	3.53E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.00E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00603264	-2.56E-01	3.52E+02	4.12E-01	3.15E-14	1.50E-09	1.00E-01	1.25E+01	6.67E-01	5.19E+04	N	21	1.88E-10	1.96E-10	2.22E-10	2.70E-10	3.53E-10	4.92E-10	7.43E-10	1.25E-09	2.52E-09	8.73E-09	0.00E+00	8.73E-09	2.52E-09	1.25E-09	7.43E-10	4.92E-10	3.53E-10	2.70E-10	2.22E-10	1.96E-10	1.88E-10
GRS00603280	8.19E-01	3.22E+02	3.00E-01	5.54E-15	6.76E-12	1.00E-01	2.97E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.53E-11	6.47E-11	3.53E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS01607168	4.10E+00	3.53E+02	4.98E-01	6.08E-15	3.97E-09	1.00E-01	2.84E+01	6.67E-01	5.19E+04	N	21	1.40E-10	1.55E-10	2.03E-10	2.95E-10	4.52E-10	7.19E-10	1.19E-09	2.12E-09	4.28E-09	1.15E-08	3.73E-08	1.15E-08	4.28E-09	2.12E-09	1.19E-09	7.19E-10	4.52E-10	2.95E-10	2.03E-10	1.55E-10	1.40E-10
GRS00607175	-4.03E-01	8.92E+00	3.34E-02	1.05E-17	4.57E-11	1.00E-01	6.82E+02	6.67E-01	5.19E+04	N	21	2.53E-11	2.60E-11	2.83E-11	3.19E-11	3.69E-11	4.29E-11	4.95E-11	5.60E-11	6.17E-11	6.55E-11	6.69E-11	6.55E-11	6.17E-11	5.60E-11	4.95E-11	4.29E-11	3.69E-11	3.19E-11	2.83E-11	2.60E-11	2.53E-11
